symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2025-04-28 14:11:00+00:00,288.49,288.68,286.7,287.195,489037.0,7339.0,287.511629
TSLA,2025-04-28 14:12:00+00:00,287.22,287.6999,286.7001,287.242,319560.0,5272.0,287.205622
TSLA,2025-04-28 14:13:00+00:00,287.2199,288.239,286.6,288.0677,368464.0,5524.0,287.262275
TSLA,2025-04-28 14:14:00+00:00,288.1544,288.32,287.44,287.4409,328894.0,5048.0,287.992688
TSLA,2025-04-28 14:15:00+00:00,287.485,288.5899,287.15,288.28,365865.0,5308.0,288.020875
TSLA,2025-04-28 14:16:00+00:00,288.23,288.65,287.7916,288.3524,326546.0,4702.0,288.319619
TSLA,2025-04-28 14:17:00+00:00,288.292,288.6499,287.71,288.27,299212.0,4537.0,288.230442
TSLA,2025-04-28 14:18:00+00:00,288.265,288.6082,287.0301,287.63,387652.0,5257.0,287.838758
TSLA,2025-04-28 14:19:00+00:00,287.65,288.23,287.19,287.66,292088.0,4083.0,287.722088
TSLA,2025-04-28 14:20:00+00:00,287.66,287.78,286.87,287.6296,345404.0,5905.0,287.371864
TSLA,2025-04-28 14:21:00+00:00,287.69,287.92,287.15,287.6,233671.0,3861.0,287.53751
TSLA,2025-04-28 14:22:00+00:00,287.5554,287.97,287.09,287.21,323179.0,4687.0,287.382809
TSLA,2025-04-28 14:23:00+00:00,287.15,287.2596,285.9001,286.0,623742.0,8560.0,286.442059
TSLA,2025-04-28 14:24:00+00:00,285.92,287.38,285.84,287.21,415273.0,5575.0,286.72132
TSLA,2025-04-28 14:25:00+00:00,287.1733,287.37,286.76,287.17,241863.0,4042.0,287.104463
TSLA,2025-04-28 14:26:00+00:00,287.17,287.43,286.24,286.79,315798.0,4950.0,286.745664
TSLA,2025-04-28 14:27:00+00:00,286.79,287.12,286.44,287.0,214736.0,3427.0,286.759162
TSLA,2025-04-28 14:28:00+00:00,287.07,287.119,286.42,286.655,175302.0,3250.0,286.729847
TSLA,2025-04-28 14:29:00+00:00,286.62,287.23,286.3,286.475,272466.0,4022.0,286.718225
TSLA,2025-04-28 14:30:00+00:00,286.5,286.8,285.8,285.86,500267.0,5650.0,286.198728
TSLA,2025-04-28 14:31:00+00:00,285.8699,286.045,284.7501,285.1295,669024.0,8933.0,285.22887
TSLA,2025-04-28 14:32:00+00:00,285.1289,285.4213,284.3845,284.97,549551.0,7426.0,284.83223
TSLA,2025-04-28 14:33:00+00:00,284.91,286.1,284.84,285.765,486222.0,6038.0,285.307272
TSLA,2025-04-28 14:34:00+00:00,285.77,286.54,285.7,286.195,368656.0,4739.0,286.186856
TSLA,2025-04-28 14:35:00+00:00,286.185,286.56,284.9023,285.39,431528.0,5371.0,285.68292
TSLA,2025-04-28 14:36:00+00:00,285.37,286.1299,284.6783,286.03,347267.0,4745.0,285.366845
TSLA,2025-04-28 14:37:00+00:00,286.075,287.15,285.9638,286.8542,455566.0,5057.0,286.564085
TSLA,2025-04-28 14:38:00+00:00,286.895,287.16,286.7065,286.9,286194.0,3646.0,286.967797
TSLA,2025-04-28 14:39:00+00:00,286.9,287.5,286.86,287.2695,316627.0,4234.0,287.211032
TSLA,2025-04-28 14:40:00+00:00,287.2512,287.33,286.53,286.755,272086.0,3786.0,286.885352
TSLA,2025-04-28 14:41:00+00:00,286.79,286.7999,285.2209,285.67,376800.0,4945.0,285.838745
TSLA,2025-04-28 14:42:00+00:00,285.63,286.54,285.5009,286.45,249545.0,3388.0,286.111606
TSLA,2025-04-28 14:43:00+00:00,286.3955,286.5,285.8,286.2524,146853.0,2324.0,286.150579
TSLA,2025-04-28 14:44:00+00:00,286.2244,286.4,285.76,285.7901,162746.0,2674.0,286.088696
TSLA,2025-04-28 14:45:00+00:00,285.88,286.45,285.7701,286.18,185030.0,2762.0,286.214337
TSLA,2025-04-28 14:46:00+00:00,286.19,286.19,285.54,285.99,176529.0,2583.0,285.862418
TSLA,2025-04-28 14:47:00+00:00,285.9332,286.09,285.3738,285.54,198658.0,2951.0,285.725743
TSLA,2025-04-28 14:48:00+00:00,285.5144,285.6117,284.64,284.745,369172.0,5423.0,284.99557
TSLA,2025-04-28 14:49:00+00:00,284.6961,284.97,283.83,284.215,521183.0,7307.0,284.230051
TSLA,2025-04-28 14:50:00+00:00,284.2116,284.259,282.7415,282.8744,575770.0,9487.0,283.402541
TSLA,2025-04-28 14:51:00+00:00,282.8401,284.26,282.65,284.08,504264.0,7220.0,283.400366
TSLA,2025-04-28 14:52:00+00:00,284.13,284.1799,282.73,282.928,402960.0,5469.0,283.256155
TSLA,2025-04-28 14:53:00+00:00,282.9,283.65,282.55,283.5699,392065.0,5509.0,283.17592
TSLA,2025-04-28 14:54:00+00:00,283.525,284.2699,283.49,283.645,342367.0,4592.0,283.877387
TSLA,2025-04-28 14:55:00+00:00,283.645,283.92,283.1701,283.3225,243670.0,3623.0,283.565205
TSLA,2025-04-28 14:56:00+00:00,283.325,283.4799,282.1111,282.41,518148.0,7712.0,282.589816
TSLA,2025-04-28 14:57:00+00:00,282.49,282.68,281.52,282.1712,591379.0,8577.0,281.889523
TSLA,2025-04-28 14:58:00+00:00,282.22,282.4391,281.362,281.7571,394084.0,5316.0,281.758587
TSLA,2025-04-28 14:59:00+00:00,281.79,282.4,281.52,281.68,490596.0,5463.0,281.98202
TSLA,2025-04-28 15:00:00+00:00,281.64,282.63,281.6,281.91,366584.0,4860.0,282.202343
TSLA,2025-04-28 15:01:00+00:00,281.88,282.65,281.8114,282.365,340934.0,5011.0,282.317775
TSLA,2025-04-28 15:02:00+00:00,282.37,282.5999,281.7336,282.05,281260.0,3839.0,282.024291
TSLA,2025-04-28 15:03:00+00:00,282.01,282.12,281.2,281.5042,422508.0,5512.0,281.570988
TSLA,2025-04-28 15:04:00+00:00,281.47,281.7799,280.78,281.15,501553.0,6699.0,281.186535
TSLA,2025-04-28 15:05:00+00:00,281.13,281.4799,280.84,281.05,333106.0,4303.0,281.139992
TSLA,2025-04-28 15:06:00+00:00,281.06,281.1385,280.12,280.17,468331.0,5815.0,280.56827
TSLA,2025-04-28 15:07:00+00:00,280.19,280.65,279.88,280.068,684905.0,10387.0,280.15611
TSLA,2025-04-28 15:08:00+00:00,280.09,280.65,279.88,280.0502,403624.0,4855.0,280.211063
TSLA,2025-04-28 15:09:00+00:00,280.05,280.2289,278.88,279.225,642015.0,8732.0,279.414148
TSLA,2025-04-28 15:10:00+00:00,279.248,279.97,278.76,278.925,526289.0,6152.0,279.28668
TSLA,2025-04-28 15:11:00+00:00,278.91,279.95,278.76,279.85,432630.0,5299.0,279.439445
TSLA,2025-04-28 15:12:00+00:00,279.8104,280.33,279.67,279.82,501847.0,5808.0,280.026526
TSLA,2025-04-28 15:13:00+00:00,279.82,279.8551,279.23,279.52,331011.0,4533.0,279.506866
TSLA,2025-04-28 15:14:00+00:00,279.5787,279.5787,277.8701,277.93,921963.0,11500.0,278.337966
TSLA,2025-04-28 15:15:00+00:00,277.9299,277.93,277.0,277.636,844515.0,9936.0,277.402292
TSLA,2025-04-28 15:16:00+00:00,277.6,277.6404,276.62,276.809,535875.0,7064.0,276.977779
TSLA,2025-04-28 15:17:00+00:00,276.76,277.85,276.73,277.1625,598175.0,7382.0,277.345653
TSLA,2025-04-28 15:18:00+00:00,277.2065,277.7,276.74,277.03,419549.0,5604.0,277.178807
TSLA,2025-04-28 15:19:00+00:00,277.02,277.18,276.4,276.52,545626.0,6908.0,276.737775
TSLA,2025-04-28 15:20:00+00:00,276.52,276.58,275.83,276.1939,834030.0,10639.0,276.226917
TSLA,2025-04-28 15:21:00+00:00,276.2,276.29,275.24,275.93,638248.0,8028.0,275.655937
TSLA,2025-04-28 15:22:00+00:00,275.94,276.05,275.0201,275.2,795884.0,9968.0,275.405739
TSLA,2025-04-28 15:23:00+00:00,275.2,276.13,275.18,275.5031,631454.0,7561.0,275.622139
TSLA,2025-04-28 15:24:00+00:00,275.47,275.66,274.65,275.265,793921.0,11663.0,275.021957
TSLA,2025-04-28 15:25:00+00:00,275.28,275.6083,274.56,274.68,585427.0,6967.0,275.03955
TSLA,2025-04-28 15:26:00+00:00,274.71,275.19,274.0,274.7314,765319.0,8985.0,274.548211
TSLA,2025-04-28 15:27:00+00:00,274.695,275.0456,274.36,274.435,417435.0,5602.0,274.700237
TSLA,2025-04-28 15:28:00+00:00,274.49,274.76,273.8,274.18,644022.0,7882.0,274.187167
TSLA,2025-04-28 15:29:00+00:00,274.15,274.5,273.78,274.07,415492.0,5216.0,274.048232
TSLA,2025-04-28 15:30:00+00:00,274.02,275.35,273.67,275.2,744929.0,8414.0,274.566413
TSLA,2025-04-28 15:31:00+00:00,275.2,277.0781,274.96,275.84,1245139.0,13691.0,276.14706
TSLA,2025-04-28 15:32:00+00:00,275.78,276.24,275.34,276.055,467821.0,6372.0,275.873688
TSLA,2025-04-28 15:33:00+00:00,276.05,276.79,275.65,276.7899,456498.0,6304.0,276.226515
TSLA,2025-04-28 15:34:00+00:00,276.76,276.96,276.15,276.71,472838.0,6151.0,276.577448
TSLA,2025-04-28 15:35:00+00:00,276.67,276.97,275.62,276.94,400197.0,5237.0,276.330277
TSLA,2025-04-28 15:36:00+00:00,276.95,277.54,276.7301,277.44,607154.0,6726.0,277.203516
TSLA,2025-04-28 15:37:00+00:00,277.44,277.77,276.83,276.91,559316.0,6122.0,277.350688
TSLA,2025-04-28 15:38:00+00:00,276.88,277.05,275.73,276.2236,385243.0,5042.0,276.329663
TSLA,2025-04-28 15:39:00+00:00,276.22,277.14,276.2,277.03,289800.0,3409.0,276.659366
TSLA,2025-04-28 15:40:00+00:00,276.96,277.16,276.67,277.0545,226500.0,3163.0,276.90696
TSLA,2025-04-28 15:41:00+00:00,277.07,277.21,276.48,276.97,244788.0,2960.0,276.82941
TSLA,2025-04-28 15:42:00+00:00,277.06,277.53,276.82,277.38,307353.0,3506.0,277.245842
TSLA,2025-04-28 15:43:00+00:00,277.37,277.58,276.96,277.08,241772.0,3356.0,277.186103
TSLA,2025-04-28 15:44:00+00:00,277.11,277.31,276.48,276.6799,269044.0,3512.0,276.754828
TSLA,2025-04-28 15:45:00+00:00,276.6,277.37,276.4011,276.9713,277065.0,3817.0,276.82927
TSLA,2025-04-28 15:46:00+00:00,276.97,277.09,276.11,276.605,251457.0,3336.0,276.504586
TSLA,2025-04-28 15:47:00+00:00,276.59,276.9899,276.4,276.7789,158747.0,2939.0,276.629505
TSLA,2025-04-28 15:48:00+00:00,276.7799,277.1193,276.25,276.33,249096.0,2918.0,276.672291
TSLA,2025-04-28 15:49:00+00:00,276.3299,276.5899,276.08,276.34,178778.0,2323.0,276.342372
TSLA,2025-04-28 15:50:00+00:00,276.336,276.85,275.92,276.59,287447.0,3681.0,276.350519
TSLA,2025-04-28 15:51:00+00:00,276.525,276.525,276.0,276.26,177467.0,2323.0,276.271832
TSLA,2025-04-28 15:52:00+00:00,276.2425,276.8469,276.13,276.77,235087.0,2880.0,276.517821
TSLA,2025-04-28 15:53:00+00:00,276.75,277.27,276.646,277.09,314954.0,3574.0,276.985127
TSLA,2025-04-28 15:54:00+00:00,277.09,277.1505,276.2801,276.44,254564.0,3008.0,276.658957
